,Profession,Commune,Nom du professionnel,latitude,longitude
332,Gynécologue obstétricien,Sainte-Foy-lès-Lyon,IRINA HERGHEA,45.732164,4.804071
333,Pédiatre,Lyon,JEAN STAGNARA,45.772185,4.85311
334,Chirurgien-dentiste,Lyon,ELSA MENCHERO CANTALEJO,45.766216,4.837298
335,Radiologue,Lyon,LAURENT POURRIOL,45.76998,4.826596
336,Chirurgien urologue,Lyon,JONAS WILISCH,45.741534,4.883643
337,Chirurgien vasculaire,Lyon,PHILIPPE NICOLINI,45.771861,4.859019
338,Chirurgien orthopédiste et traumatologue,Lyon,TIMOTHEE BISSUEL,45.76998,4.826596
339,Endocrinologue-diabétologue,Sainte-Foy-lès-Lyon,LAETITIA BALAIRE,45.750178,4.797973
340,Radiologue,Lyon,CHRISTOPHE LARCHEZ,45.788405,4.785526
341,Sage-femme,Lyon,ANNE SOPHIE GIBOLD,45.773991,4.82937
342,Chirurgien-dentiste,Lyon,KEVIN DUSSOLIN,45.745201,4.865665
343,Chirurgien-dentiste,Lyon,ROMANE TOUATI,45.762673,4.852307
344,Anesthésiste réanimateur,Lyon,AURELIA JAVAULT,45.735484,4.876521
345,Anesthésiste réanimateur,Lyon,JEROME NICOLAS,45.771409,4.859181
346,Chirurgien orthopédiste et traumatologue,Lyon,ARNAUD GODENECHE,45.734463,4.875879
347,Médecin généraliste,Lyon,GWENOLA GRIMAULT,45.754861,4.878412
348,Chirurgien-dentiste,Chazelles-sur-Lyon,LAURENT VENET,45.643949,4.395878
349,Chirurgien orthopédiste et traumatologue,Lyon,NICOLAS BARBA,45.771861,4.859019
350,Chirurgien-dentiste,Lyon,MAX ROMANO,45.744597,4.874361
351,Radiologue,Lyon,THIERRY BARATTE,45.756587,4.798997
352,Rhumatologue,Lyon,LAETITIA MARSON,45.758381,4.83276
353,Chirurgien-dentiste,Lyon,ANTHONY TALIA,45.761508,4.83705
354,Radiologue,Lyon,THIERRY TAVERNIER,45.788405,4.785526
355,Médecin généraliste,Lyon,CORINNE AZOULAI PETIT,45.760296,4.850585
356,Chirurgien-dentiste,Lyon,MARIE ISABELLE SCHMITT,45.753335,4.844742
357,Chirurgien-dentiste,Lyon,FRANCK REPPELIN,45.756182,4.796434
358,Chirurgien urologue,Lyon,SEBASTIEN CROUZET,45.743397,4.87997
359,Pédiatre,Lyon,BEATRICE KUGENER,45.748835,4.83586
360,Radiologue,Lyon,THIERRY TAVERNIER,45.788068,4.790611
361,Radiologue,Sainte-Foy-lès-Lyon,MICHEL ABIHANNA,45.75014,4.797567
362,Médecin généraliste,Lyon,MAROUA GMATI,45.777933,4.835748
363,Chirurgien-dentiste,Lyon,FLORENT MASSON,45.763654,4.837865
364,Ophtalmologiste,Lyon,NICOLAS DUQUESNE,45.769024,4.848532
365,Chirurgien orthopédiste et traumatologue,Lyon,GUILLAUME HERZBERG,45.783493,4.850856
366,Stomatologist,Lyon,PIERRE YVES JEANNIOT,45.734463,4.875879
367,Médecin généraliste,Lyon,MARION DELESPIERRE MAUPPIN,45.78796,4.78554
368,Médecin généraliste,Lyon,AUDREY TAUREAU,45.740134,4.888155
369,Chirurgien-dentiste,Lyon,CHARLOTTE CRESTIN SANTILLI,45.747088,4.856857
370,Radiologue,Sainte-Foy-lès-Lyon,ARNAUD MULLER,45.75014,4.797567
371,Médecin généraliste,Lyon,HABIBA ADDALA,45.744268,4.848181
372,Chirurgien-dentiste,Lyon,BERTRAND VIRET,45.765757,4.791772
373,Chirurgien-dentiste,Lyon,FREDERIC ARNAUD,45.766395,4.811521
374,Chirurgien-dentiste,Lyon,CELINE CLERC,45.781941,4.825396
375,Anesthésiste réanimateur,Lyon,VIRGINIE MARCHAL,45.734463,4.875879
376,Radiologue,Lyon,ARNAUD MONIER,45.76998,4.826596
377,Chirurgien orthopédiste et traumatologue,Sainte-Foy-lès-Lyon,PIERRE VULLIET,45.75014,4.797567
378,Chirurgien orthopédiste et traumatologue,Lyon,LIONEL ERHARD,45.769605,4.845716
379,Chirurgien maxillo-facial et stomatologiste,Sainte-Foy-lès-Lyon,NICOLAS FROGET,45.75014,4.797567
380,Médecin généraliste,Sainte-Foy-lès-Lyon,TUAN PHUONG HOA,45.74268,4.807124
381,Pédiatre,Lyon,ELODIE COLLINET,45.765161,4.858286
382,Gynécologue obstétricien,Lyon,DENIS CREYSSEL,45.741137,4.88481
383,Médecin généraliste,Lyon,AZEDDINE ADDALA,45.744268,4.848181
384,Radiologue,Lyon,MICHELINE PARET,45.756355,4.871349
385,Chirurgien-dentiste,Lyon,TIMOTHEE LASSIAZ,45.752181,4.825026
386,Anesthésiste réanimateur,Lyon,THOMAS LANZ,45.788068,4.790611
387,Chirurgien-dentiste,Lyon,CARINE BRION,45.760077,4.847639
388,Gynécologue obstétricien,Lyon,CHARLOTTE BRULET,45.737176,4.852094
389,Anesthésiste réanimateur,Lyon,PHILIPPE PESLAGES,45.740208,4.888919
390,Radiologue,Lyon,PIERRE ERIC LUCAIN,45.741534,4.883643
391,Médecin généraliste,Lyon,PEGGY THIEBAULT,45.774352,4.83411
392,Chirurgien-dentiste,Lyon,MAGALI CHARASSE,45.750326,4.850422
393,Gynécologue obstétricien,Lyon,CHRISTOPHE GUETAT,45.745465,4.843904
394,Chirurgien-dentiste,Lyon,STEPHAN DUFFORT,45.771234,4.855507
395,Anesthésiste réanimateur,Lyon,NICOLAS CHOPIN,45.734463,4.875879
396,Radiologue,Lyon,CHRISTOPHE LARCHEZ,45.788068,4.790611
397,Psychiatre,Lyon,ODILE GUIRAUDET,45.759163,4.805205
398,Médecin généraliste,Lyon,YANN SESTIER,45.749451,4.810779
399,Ophtalmologiste,Lyon,BEATRICE GARNIER FANTINO,45.769024,4.848532
400,Chirurgiens-dentistes spécialiste en chirurgie orale,Lyon,SAMUEL SALINO,45.746473,4.832886
401,Cardiologue,Lyon,JEROME FONTANA,45.773991,4.82937
402,Chirurgien vasculaire,Lyon,FREDERIC BECK,45.734463,4.875879
403,Ophtalmologiste,Lyon,CHARLOTTE COULON,45.749299,4.855688
404,Anesthésiste réanimateur,Lyon,PIERRE GIBAULT,45.733842,4.876888
405,Gynécologue obstétricien,Lyon,CLEMENTINE SCIARD,45.741534,4.883643
406,Sage-femme,Lyon,COLINE ROUCHON,45.74875,4.846074
407,Chirurgien-dentiste,Lyon,RICHARD ZEENDER,45.735591,4.86924
408,Gynécologue obstétricien,Lyon,PHILIPPE CHABERT,45.741137,4.88481
409,Anesthésiste réanimateur,Lyon,NICOLAS MOTTARD,45.788068,4.790611
410,Anesthésiste réanimateur,Sainte-Foy-lès-Lyon,ALINE STEGHENS,45.75014,4.797567
411,Endocrinologue-diabétologue,Lyon,ANNIE CLAVIER,45.766576,4.837887
412,Chirurgien-dentiste,Lyon,KATHERINE TAVIN,45.764812,4.832818
413,Chirurgien-dentiste,Lyon,ISABEL DOMINGUEZ LOPEZ,45.753705,4.847216
414,Chirurgien-dentiste,Lyon,FLORENT PITON,45.771409,4.859181
415,Chirurgien général,Lyon,GAETAN SINGIER,45.734463,4.875879
416,Oto-Rhino-Laryngologue (ORL) et chirurgien cervico-facial,Lyon,PHILIPPE FONTAINE,45.771861,4.859019
417,Chirurgien urologue,Lyon,EMMANUEL VIAN,45.771409,4.859181
418,Radiologue,Lyon,CLEMENT PROUST,45.788405,4.785526
419,Gynécologue obstétricien,Lyon,EMMANUEL BOLZINGER,45.741137,4.88481
420,Chirurgien-dentiste,Lyon,HERVE TOUATI,45.762673,4.852307
421,Chirurgien-dentiste,Lyon,ELSA FITOUCHI,45.771819,4.843775
422,Chirurgien-dentiste,Lyon,MICHELE FARGE,45.778392,4.8055
423,Gynécologue obstétricien,Lyon,KARIMA NESSAH BOUSQUET,45.734463,4.875879
424,Chirurgien-dentiste,Lyon,LISA BLIC,45.753963,4.886366
425,Radiologue,Lyon,CLEMENT PROUST,45.788068,4.790611
426,Radiologue,Sainte-Foy-lès-Lyon,BRUNO EICHENLAUB,45.75014,4.797567
427,Radiologue,Sainte-Foy-lès-Lyon,BENJAMIN DE BATS,45.75014,4.797567
428,Médecin généraliste,Lyon,ELSA DUTEL,45.745884,4.846531
429,Radiologue,Lyon,FABIEN CRAIGHERO,45.778923,4.83233
430,Médecin généraliste,Lyon,MARIE LAURE HALLACQ ESSAYAN,45.773716,4.807022
431,Psychiatre,Lyon,ARNOLD KAMGOUE TETAGA,45.746012,4.867926
432,Chirurgien-dentiste,Lyon,LAURENT RUBINO,45.771249,4.848514
433,Sage-femme,Lyon,SOPHIE BOHE,45.772128,4.852485
434,Chirurgien-dentiste,Lyon,MANUEL VAUNOIS,45.753515,4.868505
435,Chirurgien-dentiste,Lyon,CAROLE CAILLON,45.759638,4.847186
436,Médecin généraliste,Lyon,MATTHIEU DEMOURGUES,45.727636,4.866305
437,Médecin généraliste,Lyon,MARION GUEGAN,45.771938,4.833912
438,Médecin généraliste,Lyon,ADELE DONNOU,45.737097,4.852527
439,Chirurgien-dentiste,Lyon,JULIEN SAUNIER,45.766801,4.850553
440,Chirurgien-dentiste,Lyon,THIBAUT BRESSAND,45.770178,4.856631
441,Radiologue,Sainte-Foy-lès-Lyon,PIERRE CHARLES ANDONIAN,45.75014,4.797567
442,Anesthésiste réanimateur,Lyon,ALAIN GALY,45.771409,4.859181
443,Psychiatre,Lyon,JEROME LECAUX,45.766758,4.83741
444,Oto-Rhino-Laryngologue (ORL) et chirurgien cervico-facial,Lyon,MICKAEL DURBEC,45.771861,4.859019
445,Anesthésiste réanimateur,Lyon,ERIC LAPLACE,45.788414,4.786035
446,Chirurgien orthopédiste et traumatologue,Lyon,MICHEL BONNIN,45.734671,4.870653
447,Médecin généraliste,Lyon,FLORENCE LIME,45.747792,4.872193
448,Chirurgien-dentiste,Lyon,PHILIPPE GERENTES,45.746405,4.837339
449,Médecin généraliste,Lyon,GILLES GRIFFON RENAUD,45.78796,4.78554
450,Médecin généraliste,Lyon,CAO THANG PHAM,45.72974,4.87647
451,Radiologue,Lyon,SYLVESTRE POPINET,45.727603,4.843742
452,Chirurgien général,Lyon,FRANCOIS MITHIEUX,45.741534,4.883643
453,Médecin généraliste,Lyon,PIERRE ERIC DANION,45.727636,4.866305
454,Médecin généraliste,Sainte-Foy-lès-Lyon,BERNADETTE OMAR JOLLAND,45.750178,4.797973
455,Chirurgien orthopédiste et traumatologue,Lyon,HERVE CHAVANE,45.771409,4.859181
456,Radiologue,Sainte-Foy-lès-Lyon,MATTHIEU ROUSSET,45.75014,4.797567
457,Chirurgien-dentiste,Lyon,ANDY CRESTIN,45.747088,4.856857
458,Gynécologue obstétricien,Lyon,JULIE BIENSTMAN PAILLEUX,45.768656,4.850432
459,Chirurgien général,Lyon,PIERRE EMMANUEL BONNOT,45.741534,4.883643
460,Psychiatre,Lyon,DANIELE BACHMANN,45.769705,4.846808
461,Chirurgien-dentiste,Lyon,CHANTAL SAYKALY,45.742642,4.875009
462,Radiologue,Lyon,YANN BILLAUD,45.787932,4.787614
463,Anesthésiste réanimateur,Lyon,SABRINA JOMOTTE GRANGER,45.735484,4.876521
464,Médecin généraliste,Lyon,MARION DOUCHET,45.772622,4.845708
465,Médecin généraliste,Lyon,SUSAN HENNESSY,45.756264,4.800363
466,Anesthésiste réanimateur,Sainte-Foy-lès-Lyon,MEHDI ZEGHARI,45.75014,4.797567
467,Chirurgien infantile,Lyon,FOUAD ANTEUR,45.741534,4.883643
468,Chirurgien-dentiste,Lyon,SAMIA BENARAB,45.742367,4.851215
469,Sage-femme,Chazelles-sur-Lyon,ANNE CENDRINE SCHEUBEL,45.637094,4.393788
470,Gynécologue obstétricien,Lyon,AZZAM AWADA,45.734239,4.875132
471,Anesthésiste réanimateur,Lyon,ROMAIN NOEL,45.788068,4.790611
472,Chirurgien-dentiste,Lyon,NICOLAS BAZETOUX,45.758773,4.826606
473,Sage-femme,Lyon,LUDIVINE LEMARDELET,45.776396,4.826851
474,Chirurgien-dentiste,Lyon,GILLES EDOUARD,45.755473,4.80806
475,Oto-Rhino-Laryngologue (ORL) et chirurgien cervico-facial,Lyon,CLAUDINE POUZET,45.756918,4.83044
476,Chirurgien général,Lyon,PIERRE EMMANUEL BONNOT,45.734463,4.875879
477,Gynécologue obstétricien,Lyon,FANNY ROUMIEU,45.778923,4.83233
478,Radiologue,Lyon,ALBERT JEAN BARAZA,45.76998,4.826596
479,Psychiatre,Lyon,GUILLAUME GADENNE,45.769694,4.859217
480,Anesthésiste réanimateur,Lyon,LAURENT MATHON,45.771861,4.859019
481,Chirurgien orthopédiste et traumatologue,Lyon,JEROME GARRET,45.771409,4.859181
482,Chirurgien-dentiste,Lyon,THOMAS LORMEAU,45.754717,4.83031
483,Chirurgien-dentiste,Lyon,LUDIVINE BERTHOLLET,45.733347,4.858202
484,Ophtalmologiste,Lyon,ALAIN NICOLAS GILG,45.760053,4.84148
485,Radiologue,Lyon,GUILLAUME RENOSI,45.76998,4.826596
486,Anesthésiste réanimateur,Lyon,ANNE SOPHIE CARLIOZ FOUSSON,45.771409,4.859181
487,Chirurgien-dentiste,Lyon,REMI THOMASSON,45.771406,4.846918
488,Chirurgien-dentiste,Sainte-Foy-lès-Lyon,PAULINE DE JEKHOWSKY,45.732471,4.786096
489,Gastro-entérologue et hépatologue,Lyon,VINCENT BILLIOUD,45.788068,4.790611
490,Chirurgien maxillo-facial et stomatologiste,Lyon,CHRISTOPHE DELAVAL,45.746059,4.823459
491,Chirurgien-dentiste,Lyon,LYNDA BERKI,45.779475,4.827849
492,Chirurgien-dentiste,Lyon,MIREILLE PREVOT,45.764761,4.853179
493,Cardiologue,Lyon,CHARLY DJEUMEN WANDJI,45.759968,4.797312
494,Médecin généraliste,Lyon,STEPHANIE TURROU,45.742849,4.869854
495,Sage-femme,Lyon,ANNE VALLEIX,45.769986,4.858892
496,Chirurgien-dentiste,Lyon,KEVIN FAURE COUDEYRAS,45.766826,4.830302
497,Anesthésiste réanimateur,Lyon,FREDERIC MIGNOT,45.734463,4.875879
498,Chirurgien-dentiste,Lyon,TOMAS GIRAUD,45.772115,4.85057
499,Chirurgien-dentiste,Lyon,JUDITH VANDEN ACKER,45.769151,4.847551
500,Chirurgien-dentiste,Sainte-Foy-lès-Lyon,XAVIER RABEYRIN,45.735079,4.804504
501,Chirurgien-dentiste,Lyon,BERTRAND JOUVE,45.781941,4.825396
502,Ophtalmologiste,Lyon,JOELLE PARTOUCHE,45.789699,4.799928
503,Radiologue,Lyon,NATHALIE ROLLIN,45.741534,4.883643
504,Médecin généraliste,Lyon,ANTOINE LAURIN,45.77286,4.805629
505,Gynécologue obstétricien,Lyon,PIERRE ALAIN REBOUX,45.741137,4.88481
506,Médecin généraliste,Lyon,AGNES ROLLAND ANNE,45.764427,4.862699
507,Médecin généraliste,Lyon,JAD DBOUK,45.769184,4.850201
508,Chirurgien maxillo-facial et stomatologiste,Sainte-Foy-lès-Lyon,MATHIEU JACQUEMART,45.750178,4.797973
509,Chirurgien-dentiste,Lyon,PAUL BENFREDJ,45.753858,4.851797
510,Chirurgien orthopédiste et traumatologue,Lyon,ALEXANDRE DEVILLIER,45.76998,4.826596
511,Gynécologue médical,Lyon,URSULA BIGGI ACZEL,45.756578,4.799084
512,Anesthésiste réanimateur,Lyon,PHILIPPE KIRSTETTER,45.771861,4.859019
513,Médecin généraliste,Lyon,SEVERINE SARFATI,45.778479,4.832294
514,Médecin généraliste,Lyon,MATTHIEU SALVIDANT,45.780429,4.827325
515,Ophtalmologiste,Lyon,DAVID DONATE,45.757126,4.829574
516,Ophtalmologiste,Lyon,CARLO MANNONE,45.771861,4.859019
517,Oto-Rhino-Laryngologue (ORL) et chirurgien cervico-facial,Lyon,CHARLES MASSON,45.773991,4.82937
518,Chirurgien maxillo-facial et stomatologiste,Lyon,ARNAUD GLEIZAL,45.778923,4.83233
519,Dermatologue et vénérologue,Lyon,ANNE GOT FRAPPAZ,45.769658,4.853015
520,Chirurgien-dentiste,Lyon,ANIS HASSEN,45.764502,4.853431
521,Sage-femme,Lyon,ALIZEE DIAGANA,45.768656,4.850432
522,Anesthésiste réanimateur,Lyon,RUDY STAGNI,45.788414,4.786035
523,Médecin généraliste,Lyon,PATRICIA BARBIER,45.761081,4.827251
524,Psychiatre,Lyon,FRANCOISE LUCIANI,45.760981,4.83284
525,Chirurgien oral,Lyon,ETIENNE PICOT,45.746473,4.832886
526,Chirurgien-dentiste,Lyon,CHARLOTTE JOUVE,45.769734,4.85382
527,Radiologue,Lyon,FREDERIC STREICHENBERGER,45.756355,4.871349
528,Médecin généraliste,Lyon,CAMILLE LE BIHAN,45.73902,4.836329
529,Ophtalmologiste,Lyon,GEORGES ZAATAR,45.739649,4.83574
530,Chirurgien-dentiste,Lyon,ESTELLE AMOYAL,45.752366,4.829142
531,Radiologue,Lyon,PIERRE JACQUEMET,45.776927,4.806435
532,Médecin généraliste,Lyon,KIM PHAM GIA,45.779517,4.837266
533,Médecin généraliste,Lyon,MARION LEROY,45.780429,4.827325
534,Chirurgien-dentiste,Lyon,ARNAUD JANIN,45.78504,4.853435
535,Pneumologue,Lyon,PAULINE MAUGUIN,45.761718,4.845637
536,Médecin généraliste,Lyon,CLOTILDE COURTAIS,45.731114,4.886952
537,Radiologue,Lyon,SOPHIE COUCHON,45.741534,4.883643
538,Anesthésiste réanimateur,Lyon,WILLIAM TAYLOR,45.734463,4.875879
539,Médecin généraliste,Lyon,PIERRE GUILLEMIN,45.728064,4.823504
540,Chirurgien-dentiste,Lyon,FATMA KAYA,45.739368,4.874252
541,Médecin généraliste,Lyon,ARNAUD PRADEL,45.728064,4.823504
542,Chirurgien plasticien,Lyon,ANNE CLAIRE PIERREFEU LAGRANGE,45.756535,4.828191
543,Radiologue,Lyon,JULIETTE PIN LEVEUGLE,45.756355,4.871349
544,Anesthésiste réanimateur,Lyon,DENIS GALLET,45.734671,4.870653
545,Endocrinologue-diabétologue,Lyon,LAURA BOGENMANN,45.758113,4.829264
546,Chirurgien-dentiste,Lyon,MICHEL BRAVARD,45.75349,4.853001
547,Chirurgien urologue,Lyon,NADER VAZIRI,45.758336,4.83036
548,Rhumatologue,Lyon,JEANNE CHARRIN,45.758381,4.83276
549,Psychiatre,Lyon,JEAN PEUCH LESTRADE,45.754613,4.840074
550,Chirurgien-dentiste,Lyon,FLORENCE ARNAUD,45.753887,4.846687
551,Radiologue,Lyon,XAVIER MEYER,45.788068,4.790611
552,Chirurgien-dentiste,Chazelles-sur-Lyon,DIMITRI MAGNOULOUX,45.638898,4.391574
553,Neurologue,Lyon,LAURIANE CHAMBRIER,45.764959,4.84605
554,Radiologue,Lyon,PIERRE JACQUEMET,45.788405,4.785526
555,Chirurgien orthopédiste et traumatologue,Lyon,ARAM GAZARIAN,45.771861,4.859019
556,Médecin généraliste,Lyon,SAMUEL MESSOUAK,45.767271,4.814276
557,Oto-Rhino-Laryngologue (ORL) et chirurgien cervico-facial,Lyon,CAROLINE MATHIOLON,45.771861,4.859019
558,Anesthésiste réanimateur,Sainte-Foy-lès-Lyon,ERIC DARDARE,45.75014,4.797567
559,Chirurgien orthopédiste et traumatologue,Lyon,WILLY GRASSET,45.788414,4.786035
560,Chirurgien-dentiste,Lyon,JEAN JACQUES PARTOUCHE,45.768593,4.852066
561,Sage-femme,Lyon,EMMA GAUDIN,45.73902,4.836329
562,Neurologue,Lyon,PHILIPPE PETIOT,45.740134,4.888155
563,Chirurgien orthopédiste et traumatologue,Lyon,MARC SZADKOWSKI,45.735909,4.855114
564,Ophtalmologiste,Lyon,EIAD BOUZ,45.749299,4.855688
565,Pneumologue,Lyon,YAN MARTINAT,45.772956,4.849293
566,Anesthésiste réanimateur,Sainte-Foy-lès-Lyon,SABINE BUFFIERE CURTIL,45.75014,4.797567
567,Médecin généraliste,Lyon,ANNE GATTI,45.773224,4.800206
568,Radiologue,Lyon,ANDRAS BARTA,45.743397,4.87997
569,Médecin généraliste,Lyon,CECILE MAGNIN,45.788068,4.790611
570,Chirurgien-dentiste,Lyon,SHAHZAD ASLAM,45.763531,4.847886
571,Chirurgien-dentiste,Lyon,SERGE AMAR,45.772115,4.85057
572,Chirurgien orthopédiste et traumatologue,Lyon,BENJAMIN FREYCHET,45.734463,4.875879
573,Anesthésiste réanimateur,Lyon,AUGUSTIN PERROT,45.787932,4.787614
574,Sage-femme,Lyon,ANNE GILLIER,45.741534,4.883643
575,Radiologue,Lyon,ISABELLE DEBARD,45.756796,4.836005
576,Radiologue,Lyon,LAURENT POURRIOL,45.778923,4.83233
577,Radiologue,Lyon,LAURE HERMITTE,45.778923,4.83233
578,Radiologue,Lyon,MAELLE DEJOBERT,45.741534,4.883643
579,Gastro-entérologue et hépatologue,Lyon,RODICA GINCUL,45.766576,4.837887
580,Médecin généraliste,Lyon,JEROME PUGNERE,45.760241,4.845055
581,Anesthésiste réanimateur,Lyon,PHILIPPE AKNIN,45.771409,4.859181
582,Chirurgien-dentiste,Lyon,JACQUES PETREQUIN,45.79842,4.830673
583,Médecin spécialiste en médecine nucléaire,Lyon,JEAN MARIE RAMACKERS,45.788068,4.790611
584,Médecin généraliste,Lyon,AXELLE REITZ,45.756264,4.800363
585,Médecin généraliste,Lyon,SANDRA GRANGEON,45.780429,4.827325
586,Chirurgien-dentiste,Lyon,CATHERINE RANGER,45.76688,4.846229
587,Rhumatologue,Lyon,LAURENT MALTERRE,45.76998,4.826596
588,Chirurgien urologue,Lyon,ELIE PRICAZ,45.758336,4.83036
589,Anesthésiste réanimateur,Lyon,HENRI CUCHE,45.76998,4.826596
590,Gynécologue obstétricien,Lyon,ANNE CHRISTEL GRATADOUR,45.734463,4.875879
591,Chirurgien-dentiste,Lyon,YOLANDE BATTAGLIA KOVRIGA,45.730941,4.834559
592,Anesthésiste réanimateur,Lyon,ANAS MEZZOUR,45.771861,4.859019
593,Chirurgien général,Lyon,SALOMON BENCHETRIT,45.771861,4.859019
594,Gastro-entérologue et hépatologue,Sainte-Foy-lès-Lyon,CORINNE VILLAUDY JOUISSE,45.75014,4.797567
595,Médecin spécialiste en médecine nucléaire,Lyon,JEAN ROBERT HAUET,45.788405,4.785526
596,Stomatologist,Lyon,BRUNO SOUCHERE,45.765825,4.851285
597,Dermatologue et vénérologue,Lyon,CELINE GRAVERIAU,45.770549,4.85624
598,Médecin généraliste,Lyon,KAMAL SALEM,45.740134,4.888155
599,Sage-femme,Lyon,CAMILLE BARES,45.740134,4.888155
600,Médecin généraliste,Lyon,ELSA THOMAS,45.75828,4.829388
601,Chirurgien orthopédiste et traumatologue,Lyon,MARION BURNIER,45.734463,4.875879
602,Rhumatologue,Lyon,HENRI OLIVIER MARION AUDIBERT,45.758381,4.83276
603,Médecin généraliste,Lyon,BENOIT TUDREJ,45.731114,4.886952
604,Sage-femme,Lyon,PIERRE CHARVOLIN,45.75234,4.831231
605,Gastro-entérologue et hépatologue,Lyon,BERTRAND NAPOLEON,45.771861,4.859019
606,Chirurgien-dentiste,Lyon,REMI CARTIER,45.749444,4.886949
607,Chirurgien-dentiste,Lyon,STEFAN PARMENTIER,45.769613,4.861144
608,Chirurgien-dentiste,Lyon,MARINE AUBRY,45.769734,4.85382
609,Radiologue,Sainte-Foy-lès-Lyon,GUILLAUME BUISSON,45.75014,4.797567
610,Cardiologue,Lyon,ALAIN HEPP,45.788068,4.790611
611,Chirurgien-dentiste,Lyon,SYLVIE LAURET,45.789785,4.800003
612,Radiologue,Lyon,ARIELLE CROMBE TERNAMIAN,45.756355,4.871349
613,Cardiologue,Lyon,FRANCK SIBELLAS,45.787932,4.787614
614,Gynécologue obstétricien,Sainte-Foy-lès-Lyon,MELANIE HUMBERT,45.741317,4.79375
615,Anesthésiste réanimateur,Lyon,FABIENNE MONIER,45.788414,4.786035
616,Chirurgien-dentiste,Lyon,ANNE SOPHIE TAUPIAC,45.756578,4.799084
617,Chirurgien orthopédiste et traumatologue,Lyon,SOPHIE GROSCLAUDE COUMERT,45.771409,4.859181
618,Radiologue,Lyon,THIBAUT MONTVUAGNARD,45.76998,4.826596
619,Radiologue,Lyon,YANN BILLAUD,45.788405,4.785526
620,Gynécologue obstétricien,Lyon,MELODIE MATHE,45.741137,4.88481
621,Gynécologue obstétricien,Lyon,ANAHIDE MARGOSSIAN SCHONBORN,45.768741,4.852197
622,Pédiatre,Lyon,BENEDICTE DOUVILLEZ,45.765161,4.858286
623,Dermatologue et vénérologue,Lyon,PASCALE DARBON,45.760095,4.836337
624,Chirurgien-dentiste,Lyon,DAMIEN CABRITA,45.749444,4.886949
625,Cardiologue,Lyon,CLEMENT BECLE,45.788068,4.790611
626,Ophtalmologiste,Lyon,MADDALENA QUARANTA EL MAFTOUHI,45.757588,4.828206
627,Sage-femme,Lyon,LARA DONNAY,45.748775,4.84252
628,Médecin généraliste,Lyon,ELISE COPPERE,45.764977,4.847963
629,Médecin généraliste,Chazelles-sur-Lyon,HUBERT TRONCHON,45.635635,4.38752
630,Anesthésiste réanimateur,Lyon,ROMAIN CAILLIEREZ,45.76998,4.826596
631,Médecin généraliste,Lyon,FREDERIC SANTOS,45.730778,4.863544
632,Chirurgien-dentiste,Lyon,STEPHANE MALBET,45.754658,4.796131
633,Médecin généraliste,Lyon,EMINE DZEMAILI,45.768067,4.829308
634,Sage-femme,Lyon,PAOLA GRAMAGLIA,45.741137,4.88481
635,Oto-Rhino-Laryngologue (ORL) et chirurgien cervico-facial,Lyon,JEAN JACQUES NAVILLE,45.768926,4.844164
636,Cardiologue,Lyon,BERNARD PIERRE,45.758336,4.83036
637,Anesthésiste réanimateur,Lyon,ASRAR MOATTAR,45.759629,4.845605
638,Médecin généraliste,Lyon,LEA ASTYL,45.727636,4.866305
639,Chirurgien-dentiste,Lyon,BENJAMIN FITOUCHI,45.749444,4.886949
640,Sage-femme,Lyon,AUDE PEYNEAUD,45.739345,4.834737
641,Médecin généraliste,Lyons-la-Forêt,ALIENOR MOUSSETTE,49.398367,1.475097
642,Radiologue,Lyon,LAURE ZROUNBA,45.756355,4.871349
643,Radiologue,Lyon,ALBERT JEAN BARAZA,45.778923,4.83233
644,Chirurgien-dentiste,Lyon,JEROME MEYRAND,45.758345,4.833802
645,Sage-femme,Lyon,OMBLINE RICHARD,45.765978,4.791306
646,Médecin généraliste,Lyon,JEAN PIERRE DUBOC,45.774271,4.845124
647,Médecin généraliste,Lyon,SYLVIANE ROSET JAULT,45.743239,4.877576
648,Gynécologue obstétricien,Lyon,GILLES SOURNIES,45.75702,4.829928
649,Médecin généraliste,Lyon,PHILIPPE COSTE,45.767922,4.844574
650,Gynécologue obstétricien,Sainte-Foy-lès-Lyon,RACHEL WALDER,45.732164,4.804071
651,Sage-femme,Lyon,DARIA DHOUL ANRIF,45.755518,4.830027
652,Médecin généraliste,Lyon,ANA DIREITO,45.758029,4.851931
653,Pédiatre,Lyon,CLAIRE CAPELLA,45.748835,4.83586
654,Gastro-entérologue et hépatologue,Lyon,FABIEN FUMEX,45.736766,4.875293
655,Chirurgien-dentiste,Lyon,MINH DUC DUONG,45.761904,4.833436
656,Chirurgien-dentiste,Lyon,OLIVIER HAUCHARD,45.765343,4.8494
657,Chirurgien-dentiste,Lyon,CYRIELLE POLO,45.756681,4.831715
658,Médecin généraliste,Lyon,NATHALIE ASSA,45.747735,4.847885
659,Chirurgien-dentiste,Lyon,MAILYS BESSIS,45.773872,4.828015
660,Anesthésiste réanimateur,Lyon,PATRICK FROTTE,45.759629,4.845605
661,Anesthésiste réanimateur,Lyon,HELENE SENLIS,45.734463,4.875879
662,Chirurgien-dentiste,Lyon,VINCENT FAIVRE,45.771409,4.859181
663,Sage-femme,Lyon,AURELIE BERTAUX,45.740134,4.888155
664,Médecin généraliste,Lyon,OLIVIER DE MONTGRAND,45.762313,4.832059
